,order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,order_month,order_day_name,order_quarter
55,56,587,17149,2021-01-23,2021-02-18,Carmita Grundey,Agender,35,985 Ethan AvenueSuite 122,3174,East Declanside,Queensland,Australia,1,Saturday,1
56,57,163,41495,2021-02-27,2021-03-13,Harrietta Burchatt,Genderfluid,20,8125 Durgan BoulevardSuite 068,9458,Port Elliechester,Australian Capital Territory,Australia,2,Saturday,1
57,58,332,42861,2021-02-02,2021-02-10,Carla Walework,Male,75,011 Hamilton PlaceSuite 215,5702,East George,Northern Territory,Australia,2,Tuesday,1
58,59,843,21858,2021-01-31,2021-02-27,Sheela Dovey,Genderqueer,23,201 Anthony TerraceSuite 543,6272,Lake Addisonland,South Australia,Australia,1,Sunday,1
59,60,301,31491,2021-02-05,2021-02-28,Elga Corgenvin,Non-binary,47,0462 Fisher TrackSuite 627,9359,New Sienna,South Australia,Australia,2,Friday,1
60,61,158,42290,2021-04-16,2021-04-28,Ann-marie Sinden,Genderqueer,33,017 Doherty DriveSuite 350,58,Johnschester,New South Wales,Australia,4,Friday,2
61,62,93,37952,2021-07-30,2021-08-13,Law Foker,Genderfluid,66,4715 Hand View RdSuite 955,4739,Colestad,Queensland,Australia,7,Friday,3
62,63,556,27577,2021-02-11,2021-03-08,Nessy Kildea,Genderfluid,61,9398 Schneider RidgeSuite 818,3140,West Kai,South Australia,Australia,2,Thursday,1
63,64,167,23668,2021-01-24,2021-02-15,Alayne Ipplett,Agender,34,1952 Collins StreetSuite 930,6902,Ellieshire,Australian Capital Territory,Australia,1,Sunday,1
64,65,388,22051,2021-06-26,2021-07-22,Dame Popov,Genderfluid,38,46 Spencer MeadowSuite 241,2940,New Mayaburgh,Northern Territory,Australia,6,Saturday,2
65,66,631,42774,2021-08-14,2021-08-22,Wanids Cudby,Female,49,80 Chelsea KnollApt. 014,7749,Davidfurt,Northern Territory,Australia,8,Saturday,3
66,67,504,52694,2021-05-22,2021-06-17,Marilyn Rontree,Genderqueer,56,9100 Kovacek GroveSuite 577,2384,Emilymouth,Northern Territory,Australia,5,Saturday,2
67,68,180,20552,2021-02-12,2021-02-18,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,2,Friday,1
68,69,96,40619,2021-03-08,2021-03-28,Garvy Davioud,Genderfluid,41,461 Nader LaneApt. 460,2012,Hudsontown,New South Wales,Australia,3,Monday,1
69,70,802,11279,2021-05-15,2021-05-26,Amaleta Beange,Female,72,26 Martin RoadSuite 393,749,Imogenmouth,Northern Territory,Australia,5,Saturday,2
70,71,795,20283,2021-02-14,2021-02-16,Berri O' Clovan,Agender,49,487 Summer MewsApt. 874,1712,East Hayden,Australian Capital Territory,Australia,2,Sunday,1
71,72,610,40072,2021-03-13,2021-03-16,Sadye Pes,Agender,31,0986 Mccullough MewsSuite 467,320,New Jayden,Tasmania,Australia,3,Saturday,1
72,73,965,16715,2021-07-24,2021-08-19,Terri Lunny,Bigender,75,4627 Paige KnollApt. 635,5542,New Callumtown,Western Australia,Australia,7,Saturday,3
73,74,391,39655,2021-02-23,2021-02-27,Reed Churchlow,Male,75,4592 Isabella BoulevardApt. 793,7524,North Sophieland,Australian Capital Territory,Australia,2,Tuesday,1
74,75,68,16667,2021-08-24,2021-09-15,Willa Gaisford,Female,23,373 Little JunctionApt. 299,6751,West Justin,Western Australia,Australia,8,Tuesday,3
75,76,470,22762,2021-06-18,2021-06-26,Trudey Betteridge,Genderfluid,45,2115 Henry GroveSuite 788,3138,Edwardtown,Western Australia,Australia,6,Friday,2
76,77,680,56675,2021-04-19,2021-04-29,Camellia Heatherington,Bigender,78,5530 Ashton GroveSuite 128,7905,Taylorfurt,New South Wales,Australia,4,Monday,2
77,78,681,58179,2021-05-13,2021-05-29,Shermy Mulbry,Polygender,79,096 Gibson ManorApt. 195,1323,West Alyssaton,Victoria,Australia,5,Thursday,2
78,79,236,54340,2021-03-16,2021-03-25,Anders Couvert,Non-binary,80,64 Phillips RunApt. 722,2752,East Sienna,New South Wales,Australia,3,Tuesday,1
79,80,872,59554,2021-04-26,2021-05-20,Brendis Blackboro,Non-binary,74,17 Beatty Station StApt. 918,7892,West Lukeshire,New South Wales,Australia,4,Monday,2
80,81,736,30150,2021-06-13,2021-06-15,Delia Mably,Female,55,18 Eve LaneApt. 011,2962,Doylebury,Victoria,Australia,6,Sunday,2
81,82,927,32502,2021-02-02,2021-02-27,Joby Law,Male,61,868 Eliza CrescentSuite 085,1341,Ryanfurt,Victoria,Australia,2,Tuesday,1
82,83,537,39729,2021-06-25,2021-07-01,Beverly Burbridge,Non-binary,45,155 Hayes AvenueApt. 699,7342,Krisland,Western Australia,Australia,6,Friday,2
83,84,181,43438,2021-08-26,2021-09-20,Puff Newbury,Polygender,27,35 Fahey CircuitSuite 014,1017,Port Joshuaside,Northern Territory,Australia,8,Thursday,3
84,85,251,43533,2021-03-10,2021-03-22,Jeanne Pringer,Female,78,786 Mackenzie StreetApt. 660,8520,Wilsonside,Australian Capital Territory,Australia,3,Wednesday,1
85,86,874,27045,2021-08-05,2021-08-11,Prissie Kondratovich,Genderqueer,65,20 Hyatt LaneSuite 740,3840,South Zacmouth,Western Australia,Australia,8,Thursday,3
86,87,325,32961,2021-06-20,2021-07-16,Robinetta Deners,Genderqueer,68,32 Chase JunctionSuite 463,8304,West Claudia,South Australia,Australia,6,Sunday,2
87,88,567,10904,2021-07-19,2021-08-15,Andi Kettleson,Female,39,3767 Mackenzie Estate DrApt. 877,7008,East Piper,Northern Territory,Australia,7,Monday,3
88,89,448,29268,2021-10-22,2021-11-16,Ashely Inmett,Genderqueer,61,625 Anthony MewsApt. 730,3895,Liamton,Queensland,Australia,10,Friday,4
89,90,809,11475,2021-06-13,2021-07-07,Winn Siemandl,Bigender,76,443 Holly AvenueSuite 631,8563,South Tyler,Tasmania,Australia,6,Sunday,2
90,91,803,16601,2021-09-02,2021-09-15,Gertrude Harriott,Bigender,68,7377 Nicolas ParadeApt. 191,8377,Amyton,Australian Capital Territory,Australia,9,Thursday,3
91,92,273,37239,2021-01-12,2021-01-30,Dag Schiefersten,Bigender,46,199 Amber MallSuite 954,1660,Noahmouth,Northern Territory,Australia,1,Tuesday,1
92,93,908,52379,2021-10-22,2021-11-11,Kakalina Ragge,Genderqueer,42,69 Sophie PlazaSuite 598,3603,South Alexandraview,Queensland,Australia,10,Friday,4
93,94,629,47031,2021-03-08,2021-03-26,Sigismundo Basek,Male,53,4355 Caitlin CourtApt. 697,6606,Amberland,Western Australia,Australia,3,Monday,1
94,95,413,52416,2021-01-25,2021-02-05,Alexis Maps,Bigender,25,591 Sarah PassSuite 334,6700,Morissetteborough,Queensland,Australia,1,Monday,1
95,96,415,12119,2021-06-20,2021-06-30,Ashley Gant,Polygender,40,458 Imogen Station StSuite 799,7671,Dietrichville,South Australia,Australia,6,Sunday,2
96,97,106,17772,2021-03-29,2021-03-31,Rachel Colebrook,Genderqueer,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,3,Monday,1
97,98,257,44700,2021-04-29,2021-05-08,Trista Aspray,Genderfluid,61,9347 Morrison RoadSuite 865,1166,Johnstonshire,Australian Capital Territory,Australia,4,Thursday,2
98,99,291,26787,2021-09-13,2021-09-25,Brodie Hedin,Genderqueer,43,6428 Boyle MallApt. 711,2048,South Hannah,Tasmania,Australia,9,Monday,3
99,100,817,57063,2021-03-30,2021-04-16,Joella Tiddeman,Polygender,45,887 Goldner PlazaSuite 053,2166,Johnsonstad,Tasmania,Australia,3,Tuesday,1
100,101,807,25174,2021-01-31,2021-02-27,Dena Banbrick,Polygender,26,80 Adam HillSuite 633,953,Tylershire,Queensland,Australia,1,Sunday,1
101,102,846,41382,2021-05-07,2021-05-26,Isidore Bleasdille,Genderfluid,72,69 Michael PlazaApt. 659,6634,Davidtown,Victoria,Australia,5,Friday,2
102,103,209,49852,2021-06-16,2021-06-24,Lauryn Deport,Female,29,47 Green ParkwayApt. 868,8313,Bayermouth,South Australia,Australia,6,Wednesday,2
103,104,366,11454,2021-06-05,2021-06-23,Geraldine Naulty,Agender,64,491 Fisher IslandSuite 745,1110,Youngview,Victoria,Australia,6,Saturday,2
104,105,456,46013,2021-06-25,2021-07-14,Joelynn Remington,Agender,33,94 Archie CourtSuite 659,2010,West Lachlan,Queensland,Australia,6,Friday,2
105,106,573,12033,2021-03-09,2021-03-28,Atlante Dissman,Male,37,80 Charles CircuitSuite 023,7541,Abbeyshire,South Australia,Australia,3,Tuesday,1
106,107,127,58760,2021-01-11,2021-02-03,Merl Gayforth,Genderfluid,30,769 Gibson TrailApt. 359,3708,South Adam,Western Australia,Australia,1,Monday,1
107,108,935,52439,2021-03-07,2021-03-28,Pen Andrzejczak,Male,30,09 Baumbach LoopSuite 059,2273,Lake Oliverberg,New South Wales,Australia,3,Sunday,1
108,109,554,12707,2021-04-06,2021-04-29,Lisetta Griffin,Non-binary,56,821 Isabella JunctionApt. 238,1928,New Benjaminborough,Tasmania,Australia,4,Tuesday,2
109,110,607,15385,2021-09-02,2021-09-06,Angie O Mullen,Male,42,8397 Davis CrescentApt. 905,8092,North Gracetown,Northern Territory,Australia,9,Thursday,3
110,111,794,34096,2021-03-30,2021-04-14,Elizabet Pippin,Non-binary,72,14 Clark PlazaSuite 716,9751,Port Anna,South Australia,Australia,3,Tuesday,1
111,112,75,46956,2021-02-04,2021-02-17,Katinka Currier,Non-binary,75,96 Caitlin HillSuite 366,9777,Smythland,South Australia,Australia,2,Thursday,1
112,113,565,49592,2021-03-19,2021-04-08,Hoebart Edger,Genderqueer,73,27 Kiara MeadowSuite 662,4126,Hamiltonport,Queensland,Australia,3,Friday,1
113,114,160,49686,2021-08-08,2021-09-02,Christi Reston,Male,26,70 Phoenix DriveApt. 109,3950,Hicklebury,New South Wales,Australia,8,Sunday,3
114,115,492,12685,2021-04-11,2021-04-22,Jolee Stailey,Bigender,62,046 Leah RidgeSuite 190,8954,Josephmouth,Queensland,Australia,4,Sunday,2
115,116,510,15397,2021-04-25,2021-05-20,Kinny Roget,Non-binary,67,2684 Tillman ParadeApt. 492,7867,Alexandramouth,New South Wales,Australia,4,Sunday,2
116,117,971,58134,2021-01-08,2021-01-23,Constance Piddington,Genderfluid,27,135 Ella RunApt. 424,4268,East Chasehaven,Queensland,Australia,1,Friday,1
117,118,639,37950,2021-02-20,2021-02-22,Tobin Jeffryes,Non-binary,40,23 Zara KnollApt. 502,6722,Lake Alice,Victoria,Australia,2,Saturday,1
118,119,545,19955,2021-04-29,2021-05-06,Jakob Munks,Non-binary,59,27 Hermann ManorSuite 124,8864,Durgantown,Queensland,Australia,4,Thursday,2
119,120,585,53001,2021-06-09,2021-06-14,Alicea Momford,Non-binary,23,01 Lee GroveSuite 419,3863,West Bella,South Australia,Australia,6,Wednesday,2
120,121,549,27436,2021-04-21,2021-04-23,Barclay Beswick,Male,50,667 Feil RidgeSuite 935,1919,Gleasonburgh,Northern Territory,Australia,4,Wednesday,2
121,122,732,29226,2021-04-13,2021-05-04,Gorden Seago,Genderfluid,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,4,Tuesday,2
122,123,471,17133,2021-03-04,2021-03-22,Hayyim Trewhella,Non-binary,31,8662 Maya PlaceApt. 834,8731,Boyerland,New South Wales,Australia,3,Thursday,1
123,124,776,43888,2021-07-06,2021-07-15,Felice Dumbleton,Genderfluid,24,3744 Max PlaceApt. 109,8348,Harveyville,Australian Capital Territory,Australia,7,Tuesday,3
124,125,321,29600,2021-10-22,2021-11-03,Jena Kelling,Female,44,52 Savannah LaneApt. 519,6724,Kaihaven,New South Wales,Australia,10,Friday,4
125,126,326,29536,2021-01-31,2021-02-20,Meade Yglesia,Genderfluid,54,624 Bode TrailSuite 795,6294,New Masonport,Northern Territory,Australia,1,Sunday,1
126,127,51,43262,2021-04-01,2021-04-11,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,4,Thursday,2
127,128,936,17661,2021-10-13,2021-11-09,Mart Naismith,Genderfluid,77,562 Mann MeadowApt. 977,2372,Huelfort,Australian Capital Territory,Australia,10,Wednesday,4
128,129,428,42185,2021-05-24,2021-05-27,Jammal Varcoe,Polygender,66,80 Hermiston WaySuite 403,1112,North Liamfort,Australian Capital Territory,Australia,5,Monday,2
129,130,439,12827,2021-06-20,2021-07-15,Daren Airs,Female,75,378 John MallSuite 835,3142,West Thomas,Victoria,Australia,6,Sunday,2
130,131,629,52850,2021-09-20,2021-09-24,Sigismundo Basek,Male,53,4355 Caitlin CourtApt. 697,6606,Amberland,Western Australia,Australia,9,Monday,3
131,132,562,10396,2021-04-17,2021-05-01,Joy Mirrlees,Agender,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,4,Saturday,2
132,133,878,43759,2021-07-07,2021-07-17,Elianore Syphas,Genderfluid,54,478 Amy RunSuite 042,5733,Lake William,Victoria,Australia,7,Wednesday,3
133,134,12,39451,2021-06-19,2021-07-01,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,6,Saturday,2
134,135,942,53723,2021-05-15,2021-06-02,Lacee Denyukin,Genderfluid,45,040 Patrick Estate DrApt. 254,5149,North Nicholaston,Victoria,Australia,5,Saturday,2
135,136,539,35331,2021-09-06,2021-09-08,Sonny Tremollet,Male,78,6481 Isaac LoopApt. 355,4362,Port Blake,Queensland,Australia,9,Monday,3
136,137,298,58875,2021-10-18,2021-10-20,Roobbie Persich,Female,29,42 Mackenzie CourtApt. 934,6386,Sanfordberg,Queensland,Australia,10,Monday,4
137,138,331,50666,2021-02-05,2021-02-10,Binnie Gonzales,Polygender,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia,2,Friday,1
138,139,871,11224,2021-06-15,2021-06-28,Calypso Ellaway,Bigender,48,174 Thomson StreetSuite 883,3471,Port Joshualand,Western Australia,Australia,6,Tuesday,2
139,140,539,35025,2021-04-08,2021-04-13,Sonny Tremollet,Male,78,6481 Isaac LoopApt. 355,4362,Port Blake,Queensland,Australia,4,Thursday,2
140,141,528,40203,2021-08-26,2021-09-13,Cad Dominichetti,Non-binary,63,556 Jacobson PlaceApt. 974,1126,Lake Madelineton,Western Australia,Australia,8,Thursday,3
141,142,237,53165,2021-06-15,2021-07-12,Cassaundra Sliman,Agender,71,3679 Kiehn ParkwaySuite 444,6639,Lake Mollyburgh,New South Wales,Australia,6,Tuesday,2
142,143,828,37187,2021-02-08,2021-02-11,Tucky Kitchaside,Female,57,381 Matthew Estate DrSuite 656,6351,East Zacharystad,Queensland,Australia,2,Monday,1
143,144,928,15762,2021-05-22,2021-05-28,Hughie Trelease,Bigender,63,5014 Gemma ParadeSuite 066,1048,Haydentown,Australian Capital Territory,Australia,5,Saturday,2
144,145,871,26358,2021-02-02,2021-02-10,Calypso Ellaway,Bigender,48,174 Thomson StreetSuite 883,3471,Port Joshualand,Western Australia,Australia,2,Tuesday,1
145,146,912,22750,2021-08-30,2021-09-26,Chancey Iacovozzo,Agender,60,501 Nader RidgeApt. 355,7229,West John,Tasmania,Australia,8,Monday,3
146,147,818,20690,2021-09-28,2021-10-16,Nathaniel McCandless,Polygender,59,5085 Bergstrom MewsApt. 347,3302,West Eviebury,Western Australia,Australia,9,Tuesday,3
147,148,573,14073,2021-01-14,2021-01-24,Atlante Dissman,Male,37,80 Charles CircuitSuite 023,7541,Abbeyshire,South Australia,Australia,1,Thursday,1
148,149,500,31490,2021-03-03,2021-03-14,Carlen Kelway,Non-binary,78,74 Aaron HillSuite 794,1819,Port Haydenchester,Western Australia,Australia,3,Wednesday,1
149,150,462,34428,2021-06-22,2021-06-27,Francklyn Willeman,Non-binary,45,22 Ellie View RdApt. 141,1919,D'amoreborough,South Australia,Australia,6,Tuesday,2
150,151,357,24626,2021-08-08,2021-09-01,Crawford Bolden,Polygender,41,63 Charlie LaneSuite 463,7454,North Kaylastad,Australian Capital Territory,Australia,8,Sunday,3
151,152,320,24866,2021-03-09,2021-03-12,Dani Pinches,Polygender,43,83 Reynolds ParadeSuite 974,299,Howehaven,Tasmania,Australia,3,Tuesday,1
152,153,727,49677,2021-10-21,2021-11-17,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,10,Thursday,4
153,154,674,49994,2021-10-17,2021-11-07,Marthena Matterson,Bigender,36,5420 Amelia IslandSuite 286,4389,Goodwinmouth,South Australia,Australia,10,Sunday,4
154,155,834,11166,2021-06-30,2021-07-18,Glenn Keri,Non-binary,61,4838 Jacobi HillApt. 825,2848,Port Ellaside,New South Wales,Australia,6,Wednesday,2
155,156,727,37878,2021-07-10,2021-07-29,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,7,Saturday,3
156,157,909,17955,2021-04-07,2021-04-17,Patin Circuit,Genderqueer,62,976 Murray Station StApt. 036,3227,Langfort,Tasmania,Australia,4,Wednesday,2
157,158,828,14010,2021-07-13,2021-08-04,Tucky Kitchaside,Female,57,381 Matthew Estate DrSuite 656,6351,East Zacharystad,Queensland,Australia,7,Tuesday,3
158,159,208,12449,2021-09-05,2021-09-13,Shaylyn Musla,Bigender,71,814 Jayden MewsSuite 958,994,Josephland,South Australia,Australia,9,Sunday,3
159,160,725,41442,2021-07-31,2021-08-06,Bucky Cragell,Non-binary,23,345 Elijah TrailSuite 066,9174,Gracemouth,Northern Territory,Australia,7,Saturday,3
160,161,566,45840,2021-03-22,2021-04-11,Melissa Partkya,Male,23,95 Rice Station StSuite 985,2919,O'keefeton,Tasmania,Australia,3,Monday,1
161,162,431,20238,2021-04-25,2021-05-05,Ronni Gruszczak,Agender,41,535 Angelina CourtSuite 875,8422,Jademouth,Victoria,Australia,4,Sunday,2
162,163,84,11473,2021-06-12,2021-06-17,Minta Loble,Female,63,195 Wilson HillApt. 597,7587,Lake Paigemouth,Northern Territory,Australia,6,Saturday,2
163,164,412,26249,2021-05-21,2021-06-03,Chandal Fransinelli,Polygender,21,7048 Barrows CrescentSuite 562,238,Hackettchester,South Australia,Australia,5,Friday,2
164,165,389,28345,2021-06-23,2021-07-20,Caroljean Elstob,Agender,41,5990 John View RdApt. 812,5989,Lake Lukeberg,South Australia,Australia,6,Wednesday,2
