,sales_id,order_id,product_id,price_per_unit,quantity,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,order_month,order_day_name,order_quarter
20,20,5,148,91,2,182,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
21,21,5,475,118,2,236,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
22,22,5,1,96,3,288,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
23,23,5,830,117,3,351,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
24,24,5,1209,105,3,315,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
25,25,5,635,93,3,279,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
26,26,5,639,93,3,279,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
27,27,5,695,113,1,113,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,3,Tuesday,1
28,28,6,38,104,2,208,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,9,Thursday,3
29,29,6,473,118,2,236,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,9,Thursday,3
30,30,6,242,106,1,106,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,9,Thursday,3
31,31,6,804,91,2,182,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,9,Thursday,3
32,32,7,850,113,2,226,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,4,Monday,2
33,33,7,1162,99,3,297,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,4,Monday,2
34,34,8,765,109,1,109,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,4,Monday,2
35,35,8,256,95,2,190,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,4,Monday,2
36,36,9,203,98,1,98,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
37,37,9,486,118,2,236,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
38,38,9,708,119,1,119,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
39,39,9,1040,90,2,180,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
40,40,9,917,96,3,288,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
41,41,9,1061,93,2,186,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
42,42,9,35,104,2,208,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,5,Saturday,2
43,43,10,325,109,3,327,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,10,Friday,4
44,44,10,860,113,2,226,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,10,Friday,4
45,45,10,426,107,3,321,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,10,Friday,4
46,46,11,877,94,2,188,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,6,Tuesday,2
47,47,11,780,91,3,273,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,6,Tuesday,2
48,48,12,782,91,1,91,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,6,Wednesday,2
49,49,12,632,93,2,186,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,6,Wednesday,2
50,50,12,846,113,3,339,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,6,Wednesday,2
51,51,12,180,98,1,98,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,6,Wednesday,2
52,52,13,217,106,2,212,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
53,53,13,95,118,3,354,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
54,54,13,800,91,2,182,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
55,55,13,835,117,1,117,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
56,56,13,1249,112,2,224,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
57,57,13,753,109,2,218,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
58,58,13,114,92,3,276,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,10,Friday,4
59,59,14,1202,105,2,210,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
60,60,14,227,106,3,318,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
61,61,14,108,92,2,184,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
62,62,14,91,118,3,354,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
63,63,14,909,94,2,188,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,3,Monday,1
64,64,15,699,113,3,339,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
65,65,15,1195,105,3,315,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
66,66,15,291,105,2,210,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
67,67,15,972,97,3,291,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
68,68,15,1212,105,2,210,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,9,Wednesday,3
69,69,16,7,96,3,288,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
70,70,16,381,94,3,282,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
71,71,16,17,96,2,192,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
72,72,16,297,105,2,210,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
73,73,16,28,96,1,96,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
74,74,16,934,96,1,96,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
75,75,16,324,109,3,327,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
76,76,16,578,100,2,200,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
77,77,16,273,95,1,95,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,7,Wednesday,3
78,78,17,132,92,2,184,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,2,Tuesday,1
79,79,17,791,91,2,182,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,2,Tuesday,1
80,80,17,463,118,1,118,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,2,Tuesday,1
81,81,17,1066,93,2,186,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,2,Tuesday,1
82,82,18,35,104,1,104,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
83,83,18,970,97,3,291,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
84,84,18,285,105,1,105,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
85,85,18,1110,115,3,345,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
86,86,18,452,107,1,107,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,1,Friday,1
87,87,19,71,118,1,118,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
88,88,19,347,109,2,218,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
89,89,19,316,109,2,218,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
90,90,19,809,117,3,351,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
91,91,19,682,113,3,339,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,8,Monday,3
92,92,20,596,112,2,224,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
93,93,20,85,118,3,354,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
94,94,20,571,100,1,100,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
95,95,20,1114,115,3,345,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
96,96,20,514,102,3,306,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
97,97,20,681,113,1,113,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
98,98,20,1114,115,1,115,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,1,Wednesday,1
99,99,21,7,96,1,96,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,4,Sunday,2
100,100,21,298,105,2,210,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,4,Sunday,2
101,101,21,906,94,2,188,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,4,Sunday,2
102,102,22,20,96,1,96,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
103,103,22,1040,90,2,180,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
104,104,22,134,92,1,92,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
105,105,22,172,91,2,182,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
106,106,22,321,109,3,327,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
107,107,22,912,96,1,96,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,5,Friday,2
108,108,23,238,106,2,212,652,45711,2021-05-17,2021-05-22,Roley Cassedy,Male,63,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,5,Monday,2
109,109,23,809,117,3,351,652,45711,2021-05-17,2021-05-22,Roley Cassedy,Male,63,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,5,Monday,2
110,110,24,8,96,1,96,469,14566,2021-09-04,2021-09-20,Faber Purcell,Female,78,783 Olivia CrescentSuite 877,5011,Andrewborough,New South Wales,Australia,9,Saturday,3
111,111,24,852,113,2,226,469,14566,2021-09-04,2021-09-20,Faber Purcell,Female,78,783 Olivia CrescentSuite 877,5011,Andrewborough,New South Wales,Australia,9,Saturday,3
112,112,25,736,109,3,327,562,47075,2021-07-04,2021-07-08,Joy Mirrlees,Agender,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,7,Sunday,3
113,113,25,593,100,2,200,562,47075,2021-07-04,2021-07-08,Joy Mirrlees,Agender,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,7,Sunday,3
114,114,26,808,117,2,234,732,15964,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,4,Sunday,2
115,115,26,154,91,3,273,732,15964,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,4,Sunday,2
116,116,26,453,107,1,107,732,15964,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,4,Sunday,2
117,117,27,302,105,2,210,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
118,118,27,823,117,1,117,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
119,119,27,360,94,1,94,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
120,120,27,430,107,1,107,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
121,121,27,1027,90,3,270,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
122,122,27,603,112,1,112,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
123,123,27,843,113,2,226,443,35513,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,5,Sunday,2
124,124,28,19,96,2,192,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
125,125,28,226,106,2,212,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
126,126,28,1158,99,1,99,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
127,127,28,730,119,1,119,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
128,128,28,2,96,2,192,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
129,129,28,761,109,2,218,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
130,130,28,684,113,3,339,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
131,131,28,922,96,2,192,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
132,132,28,1053,93,2,186,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
133,133,28,1259,112,3,336,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
134,134,28,803,91,2,182,206,29968,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,8,Thursday,3
135,135,29,633,93,1,93,993,57645,2021-03-22,2021-03-28,Orella Singyard,Polygender,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,3,Monday,1
136,136,29,907,94,3,282,993,57645,2021-03-22,2021-03-28,Orella Singyard,Polygender,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,3,Monday,1
137,137,29,246,95,2,190,993,57645,2021-03-22,2021-03-28,Orella Singyard,Polygender,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,3,Monday,1
138,138,29,762,109,3,327,993,57645,2021-03-22,2021-03-28,Orella Singyard,Polygender,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,3,Monday,1
139,139,30,407,119,2,238,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
140,140,30,325,109,2,218,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
141,141,30,2,96,1,96,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
142,142,30,411,119,2,238,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
143,143,30,1167,99,1,99,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
144,144,30,462,118,3,354,260,59350,2021-07-07,2021-07-26,Whitney Scarman,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,7,Wednesday,3
145,145,31,484,118,2,236,727,15722,2021-03-11,2021-04-05,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,3,Thursday,1
146,146,31,1071,93,1,93,727,15722,2021-03-11,2021-04-05,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,3,Thursday,1
147,147,31,1245,112,1,112,727,15722,2021-03-11,2021-04-05,Herschel Verdey,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,3,Thursday,1
148,148,32,1096,115,3,345,627,24976,2021-06-17,2021-07-14,Codie Everly,Genderfluid,51,66 Isla CrescentApt. 573,7404,Port Christopher,South Australia,Australia,6,Thursday,2
